name,year,quarter,published
DELTA,2022,3,"Tue, 25 Oct 2022 17:39:24 +0700"
PTTEP,2022,3,"Tue, 25 Oct 2022 17:21:46 +0700"
BSET100,2021,4,"Tue, 25 Oct 2022 13:07:09 +0700"
SCGP,2022,3,"Tue, 25 Oct 2022 12:49:37 +0700"
HMPRO,2022,3,"Tue, 25 Oct 2022 07:28:33 +0700"
