name,year,quarter,published,market
JTS,2021,4,"Tue, 15 Feb 2022 22:29:10 +0700",SET
THG,2021,4,"Tue, 15 Feb 2022 19:23:03 +0700",SETCLMV / SETWB
AMANAH,2021,4,"Tue, 15 Feb 2022 18:47:44 +0700",sSET
OR,2021,4,"Tue, 15 Feb 2022 18:17:55 +0700",SET50 / SETCLMV
TOP,2021,4,"Tue, 15 Feb 2022 18:08:21 +0700",SET50 / SETCLMV / SETTHSI
DELTA,2021,4,"Tue, 15 Feb 2022 17:53:24 +0700",SET
SF,2021,4,"Tue, 15 Feb 2022 17:41:35 +0700",SET
GC,2021,4,"Tue, 15 Feb 2022 17:13:59 +0700",SET
DCC,2021,4,"Tue, 15 Feb 2022 13:09:31 +0700",SET
EGATIF,2021,4,"Tue, 15 Feb 2022 13:04:30 +0700",SET
SPG,2021,4,"Tue, 15 Feb 2022 12:37:06 +0700",SET
