name,year,quarter,published,market
BE8,2022,3,"Thu, 10 Nov 2022 21:38:24 +0700",mai
PREB,2022,3,"Thu, 10 Nov 2022 21:04:10 +0700",SET
MBAX,2022,3,"Thu, 10 Nov 2022 20:25:43 +0700",mai
BANPU,2022,3,"Thu, 10 Nov 2022 20:07:15 +0700",SET50 / SETCLMV / SETTHSI
BPP,2022,3,"Thu, 10 Nov 2022 19:50:20 +0700",SET / SETCLMV / SETTHSI
BBL,2022,3,"Thu, 10 Nov 2022 19:23:41 +0700",SET50 / SETHD / SETTHSI
S11,2022,3,"Thu, 10 Nov 2022 19:12:29 +0700",sSET
SYNEX,2022,3,"Thu, 10 Nov 2022 18:48:32 +0700",SET100 / SETTHSI
EPG,2022,2,"Thu, 10 Nov 2022 18:37:29 +0700",SET100 / SETTHSI
AIT,2022,3,"Thu, 10 Nov 2022 18:30:40 +0700",sSET
JMART,2022,3,"Thu, 10 Nov 2022 18:09:24 +0700",SET50
BAM,2022,3,"Thu, 10 Nov 2022 18:06:26 +0700",SET100
M,2022,3,"Thu, 10 Nov 2022 17:55:15 +0700",SETWB
LIT,2022,3,"Thu, 10 Nov 2022 17:52:36 +0700",mai
TCAP,2022,3,"Thu, 10 Nov 2022 17:50:38 +0700",SET100 / SETHD
MAKRO,2022,3,"Thu, 10 Nov 2022 17:48:14 +0700",SET
PTT,2022,3,"Thu, 10 Nov 2022 17:46:24 +0700",SET50 / SETCLMV / SETHD / SETTHSI
ECL,2022,3,"Thu, 10 Nov 2022 17:38:26 +0700",SET
LH,2022,3,"Thu, 10 Nov 2022 17:36:00 +0700",SET50 / SETHD
IMPACT,2022,2,"Thu, 10 Nov 2022 17:31:10 +0700",SET
TKS,2022,3,"Thu, 10 Nov 2022 17:30:15 +0700",sSET
ASIAN,2022,3,"Thu, 10 Nov 2022 17:25:41 +0700",sSET / SETTHSI
TYCN,2022,3,"Thu, 10 Nov 2022 17:20:13 +0700",SET
TIPH,2022,3,"Thu, 10 Nov 2022 17:12:34 +0700",SET100
PAP,2022,3,"Thu, 10 Nov 2022 17:12:29 +0700",sSET
ANAN,2022,3,"Thu, 10 Nov 2022 17:11:57 +0700",sSET
TTA,2022,3,"Thu, 10 Nov 2022 17:10:43 +0700",SET100 / SETWB
KEX,2022,3,"Thu, 10 Nov 2022 17:09:29 +0700",SET100 / SETTHSI / SETWB
SAT,2022,3,"Thu, 10 Nov 2022 17:04:39 +0700",sSET / SETTHSI
GUNKUL,2022,3,"Thu, 10 Nov 2022 17:04:34 +0700",SET100 / SETCLMV / SETHD / SETTHSI
JMT,2022,3,"Thu, 10 Nov 2022 13:24:45 +0700",SET50
BAY,2022,3,"Thu, 10 Nov 2022 13:05:32 +0700",SET
ESSO,2022,3,"Thu, 10 Nov 2022 12:42:45 +0700",SET100
GFPT,2022,3,"Thu, 10 Nov 2022 12:42:08 +0700",sSET / SETTHSI
KKP,2022,3,"Thu, 10 Nov 2022 12:32:45 +0700",SET100 / SETCLMV / SETHD / SETTHSI
KYE,2022,2,"Thu, 10 Nov 2022 12:32:33 +0700",SET
IVL,2022,3,"Thu, 10 Nov 2022 12:32:20 +0700",SET50 / SETTHSI
MINT,2022,3,"Thu, 10 Nov 2022 12:32:06 +0700",SET50 / SETCLMV / SETTHSI / SETWB
CPN,2022,3,"Thu, 10 Nov 2022 08:26:22 +0700",SET50 / SETTHSI
SAPPE,2022,3,"Thu, 10 Nov 2022 08:11:05 +0700",sSET
SKR,2022,3,"Thu, 10 Nov 2022 08:00:41 +0700",SET
THANI,2022,3,"Thu, 10 Nov 2022 07:48:57 +0700",SET100 / SETHD / SETTHSI
TKN,2022,3,"Thu, 10 Nov 2022 07:07:15 +0700",sSET
BH,2022,3,"Thu, 10 Nov 2022 06:36:46 +0700",SET50 / SETCLMV / SETWB
TVI,2022,3,"Thu, 10 Nov 2022 06:34:50 +0700",SET
