name,year,quarter,published,market
AWC,2021,4,"Fri, 18 Feb 2022 22:12:54 +0700",SET50 / SETTHSI
TIPCO,2021,4,"Fri, 18 Feb 2022 19:10:08 +0700",sSET
TMT,2021,4,"Fri, 18 Feb 2022 19:05:11 +0700",sSET / SETTHSI
PSH,2021,4,"Fri, 18 Feb 2022 19:02:58 +0700",SETTHSI
CBG,2021,4,"Fri, 18 Feb 2022 18:44:52 +0700",SET50 / SETCLMV / SETWB
MAKRO,2021,4,"Fri, 18 Feb 2022 18:29:07 +0700",SET
ICC,2021,4,"Fri, 18 Feb 2022 18:25:53 +0700",SET
BEC,2021,4,"Fri, 18 Feb 2022 18:25:15 +0700",SET100
APCS,2021,4,"Fri, 18 Feb 2022 18:24:20 +0700",sSET
ASK,2021,4,"Fri, 18 Feb 2022 18:04:38 +0700",SET
TRUE,2021,4,"Fri, 18 Feb 2022 17:49:00 +0700",SET50 / SETTHSI
SCC,2021,4,"Fri, 18 Feb 2022 17:21:22 +0700",SET50 / SETCLMV / SETHD / SETTHSI
YUASA,2021,4,"Fri, 18 Feb 2022 17:18:27 +0700",mai
GULF,2021,4,"Fri, 18 Feb 2022 17:04:33 +0700",SET50 / SETCLMV / SETTHSI
AIE,2021,4,"Fri, 18 Feb 2022 17:01:49 +0700",sSET
INOX,2021,4,"Fri, 18 Feb 2022 17:00:54 +0700",SET
TTLPF,2021,4,"Fri, 18 Feb 2022 13:03:45 +0700",SET
DOHOME,2021,4,"Fri, 18 Feb 2022 08:51:22 +0700",SET100 / SETWB
CPNREIT,2021,4,"Fri, 18 Feb 2022 08:34:46 +0700",SET
SVI,2021,4,"Fri, 18 Feb 2022 08:22:57 +0700",SET
SUPEREIF,2021,4,"Fri, 18 Feb 2022 08:00:06 +0700",SET
INSET,2021,4,"Fri, 18 Feb 2022 07:48:14 +0700",mai
