name,year,quarter,published,market
VIBHA,2022,3,"Mon, 14 Nov 2022 21:51:21 +0700",SETWB
SUPER,2022,3,"Mon, 14 Nov 2022 21:42:59 +0700",SET100 / SETCLMV
BTS,2022,2,"Mon, 14 Nov 2022 21:33:05 +0700",SET50 / SETTHSI / SETWB
SAWAD,2022,3,"Mon, 14 Nov 2022 21:04:11 +0700",SET50
SIRI,2022,3,"Mon, 14 Nov 2022 20:44:52 +0700",SET / SETTHSI
DCON,2022,3,"Mon, 14 Nov 2022 20:41:40 +0700",SET
AIMIRT,2022,3,"Mon, 14 Nov 2022 20:33:01 +0700",SET
STARK,2022,3,"Mon, 14 Nov 2022 20:21:43 +0700",SET100 / SETCLMV
KTB,2022,3,"Mon, 14 Nov 2022 20:04:21 +0700",SET50 / SETHD / SETTHSI
AMATA,2022,3,"Mon, 14 Nov 2022 19:42:49 +0700",SET100 / SETCLMV / SETTHSI
ORI,2022,3,"Mon, 14 Nov 2022 19:32:38 +0700",SET100 / SETHD / SETTHSI
TRUE,2022,3,"Mon, 14 Nov 2022 19:26:53 +0700",SET50 / SETTHSI
SENA,2022,3,"Mon, 14 Nov 2022 19:23:46 +0700",sSET
BA,2022,3,"Mon, 14 Nov 2022 19:21:48 +0700",SETWB
BEAUTY,2022,3,"Mon, 14 Nov 2022 19:21:44 +0700",SET
PTG,2022,3,"Mon, 14 Nov 2022 18:44:08 +0700",SET100 / SETHD / SETTHSI
BLAND,2022,2,"Mon, 14 Nov 2022 18:41:46 +0700",SET
RS,2022,3,"Mon, 14 Nov 2022 18:41:28 +0700",SET / SETTHSI
TOA,2022,3,"Mon, 14 Nov 2022 18:13:36 +0700",SETTHSI
CRC,2022,3,"Mon, 14 Nov 2022 18:13:33 +0700",SET50 / SETCLMV / SETTHSI / SETWB
LHFG,2022,3,"Mon, 14 Nov 2022 18:11:29 +0700",SET
WHART,2022,3,"Mon, 14 Nov 2022 18:08:31 +0700",SET
AH,2022,3,"Mon, 14 Nov 2022 18:05:13 +0700",sSET / SETTHSI
GRAMMY,2022,3,"Mon, 14 Nov 2022 18:01:29 +0700",SET
KTC,2022,3,"Mon, 14 Nov 2022 17:55:18 +0700",SET50 / SETTHSI
KBANK,2022,3,"Mon, 14 Nov 2022 17:49:38 +0700",SET50 / SETCLMV / SETTHSI
TPIPL,2022,3,"Mon, 14 Nov 2022 17:42:22 +0700",SET
MEGA,2022,3,"Mon, 14 Nov 2022 17:39:27 +0700",SET100 / SETCLMV / SETWB
BDMS,2022,3,"Mon, 14 Nov 2022 17:27:24 +0700",SET50 / SETCLMV / SETTHSI / SETWB
STEC,2022,3,"Mon, 14 Nov 2022 17:26:11 +0700",SET100
HANA,2022,3,"Mon, 14 Nov 2022 17:26:07 +0700",SET100 / SETTHSI
RATCH,2022,3,"Mon, 14 Nov 2022 17:20:43 +0700",SET100 / SETCLMV / SETHD / SETTHSI
TR,2022,2,"Mon, 14 Nov 2022 17:13:03 +0700",SET
SPC,2022,3,"Mon, 14 Nov 2022 17:10:22 +0700",SET
CK,2022,3,"Mon, 14 Nov 2022 17:09:04 +0700",SET100 / SETCLMV / SETTHSI
BCT,2022,2,"Mon, 14 Nov 2022 17:07:57 +0700",SET
PTL,2022,2,"Mon, 14 Nov 2022 17:07:17 +0700",SET
BTSGIF,2022,2,"Mon, 14 Nov 2022 17:05:33 +0700",SET
ROJNA,2022,3,"Mon, 14 Nov 2022 17:05:03 +0700",sSET
CPF,2022,3,"Mon, 14 Nov 2022 17:02:39 +0700",SET50 / SETCLMV / SETHD / SETTHSI / SETWB
TMW,2022,2,"Mon, 14 Nov 2022 17:00:31 +0700",mai
AIE,2022,3,"Mon, 14 Nov 2022 13:20:21 +0700",sSET
TISCO,2022,3,"Mon, 14 Nov 2022 12:30:56 +0700",SET50 / SETHD / SETTHSI
PLANB,2022,3,"Mon, 14 Nov 2022 08:47:02 +0700",SET100 / SETTHSI
EGCO,2022,3,"Mon, 14 Nov 2022 08:37:08 +0700",SET50 / SETCLMV / SETHD / SETTHSI
PCSGH,2022,3,"Mon, 14 Nov 2022 08:35:44 +0700",SET
TQM,2022,3,"Mon, 14 Nov 2022 08:29:21 +0700",SET100 / SETTHSI
MCS,2022,3,"Mon, 14 Nov 2022 08:15:00 +0700",sSET
LHK,2022,2,"Mon, 14 Nov 2022 08:04:04 +0700",SET
SSP,2022,3,"Mon, 14 Nov 2022 08:01:09 +0700",sSET / SETCLMV
LALIN,2022,3,"Mon, 14 Nov 2022 07:43:49 +0700",sSET
FORTH,2022,3,"Mon, 14 Nov 2022 07:22:26 +0700",SET100
TTW,2022,3,"Mon, 14 Nov 2022 06:59:13 +0700",SETTHSI
SUPEREIF,2022,3,"Mon, 14 Nov 2022 06:53:17 +0700",SET
SPCG,2022,3,"Mon, 14 Nov 2022 06:37:30 +0700",SET
