Video_id,Title,Published_date,Views,Month
riprM6tIsjk,Passenger - Let Her Go (Lyrics),2022-03-24,120060,Mar
ClwNS5PHwSg,Maroon 5 - Girls Like You (Lyrics) ft. Cardi B,2022-03-24,62163,Mar
OZ7pckOZRRY,Lewis Capaldi - Someone You Loved (Lyrics),2022-03-24,244022,Mar
37DI32uxhg4,Ed Sheeran - Perfect (Lyrics),2022-03-24,126688,Mar
cSogj_P_6Yw,Imagine Dragons - Demons (Lyrics),2022-03-24,23319,Mar
vKnMboH5llo,Taylor Swift - Blank Space (Lyrics),2022-03-24,78803,Mar
Y45ZyOiyYN8,Ed Sheeran - Photograph (Lyrics),2022-03-24,157328,Mar
Zsnw67HpqiQ,Wiz Khalifa - See You Again (Lyrics) ft. Charlie Puth,2022-03-24,233396,Mar
P0oEydy4a8Y,Sia - Cheap Thrills (Lyrics) ft. Sean Paul,2022-03-24,292301,Mar
pETBdNwZK6A,GAYLE - abcdefu (Lyrics),2022-03-23,33543,Mar
ljQCgYRasHU,CKay - Love Nwantiti (Lyrics),2022-03-23,36204,Mar
Jjfa83KTzJc,Clean Bandit - Rockabye (Lyrics) ft. Sean Paul & Anne-Marie,2022-03-23,267757,Mar
t_OU8bT-wBk,"The Kid LAROI, Justin Bieber - Stay (Lyrics)",2022-03-23,13981,Mar
az0cTGOxzvQ,Ellie Goulding - Love Me Like You Do (Lyrics),2022-03-23,304712,Mar
gM-OXracQTE,Sia - Unstoppable (Lyrics),2022-03-23,64740,Mar
dV73fD1JMrE,Jaymes Young - Infinity (Lyrics),2022-03-23,102074,Mar
YgLW-Nj2H3A,The Chainsmokers - Closer (Lyrics) ft. Halsey,2022-03-23,64874,Mar
Zkyac_hjrY4,Ed Sheeran - Perfect (Lyrics),2022-03-22,204347,Mar
kwg65dGjiKU,CKay - Love Nwantiti (Lyrics),2022-03-21,52711,Mar
CzfpAfwELq4,"Billie Eilish, Khalid - lovely (Lyrics)",2022-03-20,10296,Mar
qFOZI4fRpss,Tones and I - Dance Monkey (Lyrics),2022-03-19,55000,Mar
zvMJY3b0Z5w,Imagine Dragons - Believer (Lyrics),2022-03-18,57292,Mar
afKijnr7BQU,Ed Sheeran - Shape of You (Lyrics),2022-03-17,30768,Mar
Fb6QP1_AInw,Shawn Mendes - Señorita (Lyrics) ft. Camila Cabello,2022-03-16,6971,Mar
