,date,amount,item,kind
0,2022-07-31,10000,Parent,Parent
1,2022-07-31,640,Internet Home,Communication
2,2022-07-31,340,Packt,Edutainment
3,2022-07-31,320,Telephone Dtac,Communication
4,2022-07-31,170,Google,Edutainment
5,2022-07-31,100,Apple,Edutainment
6,2022-07-31,70,Patreon,Edutainment
7,2022-07-31,40,Apple,Edutainment
8,2022-07-31,420,Netflix,Edutainment
