sell_year,sell_month,buy_year,buy_month,name,net
2022,1,2019,11,MCS,-10846.64
2022,1,2021,3,IVL,6925.23
2022,1,2021,6,IVL,24327.22
2022,1,2021,7,IVL,18150.32
2022,1,2021,7,SAT,7998.06
2022,1,2021,9,DCC,3477.28
2022,1,2021,9,EPG,2095.9
2022,1,2021,9,NER,-1644.03
2022,1,2021,10,SAT,10009.39
2022,1,2021,11,KBANK,11194.84
2022,1,2021,11,RCL,7187.7
2022,1,2021,11,SIS,3098.42
2022,1,2021,11,TOP,5040.41
2022,1,2021,12,IMH,26246.4
2022,1,2021,12,KBANK,2005.39
2022,1,2022,1,IMH,130.89
2022,1,2022,1,SYNEX,2035.7
2022,2,2019,7,DIF,-4642.32
2022,2,2021,3,MCS,-10347.75
2022,2,2021,5,NOBLE,-64814.0
2022,2,2021,6,RATCH,140.34
2022,2,2021,7,IVL,26422.57
2022,2,2021,8,TU,-7046.56
2022,2,2021,9,BGRIM,-64455.19
2022,2,2021,9,EPG,-15526.94
2022,2,2021,11,CKP,6320.02
2022,2,2021,11,GLOBAL,7552.59
2022,2,2021,11,TSTH,-5736.72
2022,2,2021,12,IMH,9045.5
2022,2,2021,12,IP,5119.6
2022,2,2022,1,GLOBAL,15105.18
2022,2,2022,1,IMH,12403.64
2022,2,2022,1,LPF,377.61
2022,2,2022,1,TOP,12575.279999999999
2022,2,2022,1,TSE,-4451.84
2022,3,2021,11,TYCN,-12646.75
2022,3,2022,1,DOHOME,10345.51
2022,3,2022,1,SIS,315.17
2022,3,2022,2,MEGA,353.79
2022,3,2022,2,SINGER,36948.89
2022,3,2022,2,SNC,220.25
2022,4,2021,9,PTT,236.69
2022,4,2022,2,CPNCG,-7085.31
2022,4,2022,2,TISCO,6116.26
2022,4,2022,3,AIMIRT,-3569.23
2022,4,2022,3,DOHOME,2407.7
2022,4,2022,3,JASIF,-2491.71
2022,4,2022,4,MCS,5182.69
2022,5,2021,8,DOHOME,-2250.77
2022,5,2021,9,RATCH,-12378.76
2022,5,2021,11,IP,77.22
2022,5,2021,11,PTT,-8506.69
2022,5,2021,11,RJH,3832.2
2022,5,2021,12,RATCH,-28748.65
2022,5,2022,2,SPALI,-5367.13
2022,5,2022,3,WHAIR,-58.84
2022,5,2022,5,IVL,1704.28
2022,5,2022,5,SIS,7424.0199999999995
2022,6,2020,8,DIF,-12624.6
2022,6,2022,5,BDMS,-5906.32
2022,6,2022,5,STA,453.81
2022,6,2022,6,GLOBAL,531.21
2022,6,2022,6,MCS,1244.17
2022,6,2022,6,TOP,8215.91
2022,6,2022,6,TTB,-1555.94
2022,7,2021,3,TISCO,-9411.98
2022,7,2021,4,TISCO,-9411.98
2022,7,2022,6,GLOBAL,531.21
2022,7,2022,6,SIS,443.5
2022,8,2022,6,TOP,3725.88
2022,8,2022,8,PTTEP,-112.64
2022,9,2022,3,TPIPL,146.83
2022,9,2022,5,BCH,1250.82
2022,9,2022,9,BANPU,3276.57
2022,9,2022,9,JASIF,3643.39
2022,10,2021,12,BCH,-6558.48
2022,10,2022,3,PTTGC,-23879.59
2022,10,2022,9,PTT,-10840.15
2022,10,2022,10,RCL,4121.26
2022,11,2022,1,SCC,-13681.07
2022,11,2022,3,KCE,-13475.37
2022,11,2022,3,STA,-16623.91
2022,11,2022,3,SYNEX,-25469.78
2022,11,2022,5,DOHOME,-15900.46
2022,11,2022,8,VNG,-8676.93
