name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
TTLPF,2022-05-11,22.70,22.50,22.70,22.50,22.70,1100,24.77,9.90,29.50,15.90,0.00,0.00%
TTW,2022-05-11,10.90,11.00,11.00,10.90,11.00,1638480,17958.77,1.00,14.10,7.65,+0.10,+0.92%
TU,2022-05-11,17.00,17.10,17.20,16.60,16.80,44518718,752430.51,0.25,22.10,11.90,-0.20,-1.18%
TVI,2022-05-11,16.80,17.00,17.20,16.40,16.60,710272,11941.72,1.00,21.80,11.80,-0.20,-1.19%
TVO,2022-05-11,32.00,32.00,32.00,31.50,31.50,621108,19648.20,1.00,41.50,22.40,-0.50,-1.56%
TYCN,2022-05-11,3.46,3.48,3.52,3.44,3.44,77300,269.98,10.00,4.48,2.44,-0.02,-0.58%
UTP,2022-05-11,16.00,16.00,16.00,15.80,15.90,283322,4506.39,1.00,20.80,11.20,-0.10,-0.62%
VGI,2022-05-11,4.88,4.90,4.90,4.80,4.86,16690718,80768.99,0.10,6.30,3.42,-0.02,-0.41%
VIBHA,2022-05-11,2.44,2.44,2.46,2.40,2.44,8756893,21243.88,0.10,3.16,1.71,0.00,0.00%
VNG,2022-05-11,8.10,8.15,8.35,7.85,7.95,6294825,51022.46,1.00,10.50,5.70,-0.15,-1.85%
WHA,2022-05-11,3.06,3.06,3.08,3.02,3.02,45376535,137823.94,0.10,3.96,2.16,-0.04,-1.31%
WHART,2022-05-11,10.50,10.60,10.70,10.50,10.60,638499,6767.84,9.02,13.60,7.35,+0.10,+0.95%
WHAUP,2022-05-11,3.98,3.98,4.00,3.94,3.94,3795075,15030.17,1.00,5.15,2.80,-0.04,-1.01%
WICE,2022-05-11,17.20,16.70,16.80,15.50,15.60,31172237,495828.28,0.50,22.30,12.10,-1.60,-9.30%
WORK,2022-05-11,27.25,27.50,27.75,25.75,26.00,2678813,71269.19,1.00,35.25,19.10,-1.25,-4.59%
