name,date,prv,open,high,low,price,volume,daily_volume,par,ceiling,floor,chg_amt,chg_pct
CENTEL,2022-05-11,42.75,42.75,42.75,41.75,42.25,2581363,108701.63,1.00,55.50,30.00,-0.50,-1.17%
CHG,2022-05-11,3.64,3.64,3.72,3.60,3.66,88581796,325429.00,0.10,4.72,2.56,+0.02,+0.55%
CK,2022-05-11,18.80,18.80,19.00,18.40,18.40,6149841,114361.18,1.00,24.40,13.20,-0.40,-2.13%
CKP,2022-05-11,5.45,5.45,5.50,5.35,5.45,11788223,63889.56,1.00,7.05,3.82,0.00,0.00%
COM7,2022-05-11,38.00,38.00,38.00,35.50,36.00,23046784,838369.08,0.25,49.25,26.75,-2.00,-5.26%
COTTO,2022-05-11,2.14,2.14,2.16,2.10,2.12,4864769,10358.61,1.00,2.78,1.50,-0.02,-0.93%
CPALL,2022-05-11,64.50,64.25,64.50,63.50,63.50,14139469,902345.49,1.00,83.75,45.25,-1.00,-1.55%
CPF,2022-05-11,23.80,23.60,23.90,23.60,23.80,18604989,441190.05,1.00,30.75,16.70,0.00,0.00%
CPN,2022-05-11,62.25,62.75,63.25,61.75,63.00,8492215,531911.26,0.50,80.75,43.75,+0.75,+1.20%
CPNCG,2022-05-11,11.70,11.80,11.80,11.70,11.80,225600,2659.59,10.30,15.20,8.20,+0.10,+0.85%
CPNREIT,2022-05-11,19.70,19.60,19.60,19.40,19.50,928940,18099.09,12.10,25.50,13.80,-0.20,-1.02%
CPTGF,2022-05-11,8.20,8.20,8.25,8.15,8.25,117400,958.00,10.08,10.60,5.75,+0.05,+0.61%
CRC,2022-05-11,39.00,38.75,39.25,38.25,38.75,9729783,376507.88,1.00,50.50,27.50,-0.25,-0.64%
DCC,2022-05-11,2.92,2.92,2.94,2.86,2.88,31788311,91873.32,0.10,3.78,2.06,-0.04,-1.37%
DCON,2022-05-11,0.45,0.45,0.45,0.44,0.44,2529555,1118.89,0.10,0.58,0.32,-0.01,-2.22%
DELTA,2022-05-11,333.00,334.00,347.00,330.00,342.00,2372523,807658.45,1.00,432.00,234.00,+9.00,+2.70%
DIF,2022-05-11,14.30,14.20,14.30,14.20,14.30,11721530,167294.71,10.00,18.50,10.10,0.00,0.00%
DOHOME,2022-05-11,19.60,19.50,19.60,18.90,19.10,5319335,101887.62,1.00,25.25,13.80,-0.50,-2.55%
DRT,2022-05-11,7.30,7.35,7.40,7.20,7.35,410267,2989.11,1.00,9.45,5.15,+0.05,+0.68%
