Name,Open,High,Low,Close,ChgAmt,ChgPct,Bid,Offer,Volume,Value(000)
CPF,24.00,24.20,24.00,24.10,0.00,0.00,24.00,24.20,11145858,268569.77
CPN,61.00,61.75,60.50,60.50,-1.00,-1.63,60.25,60.50,10830889,658778.51
CRC,39.75,40.25,39.00,39.50,-0.50,-1.25,39.25,39.50,11684916,461281.68
DOHOME,20.30,20.40,20.00,20.10,-0.10,-0.50,20.00,20.10,4592025,92592.46
DTAC,46.25,46.25,45.75,46.00,-0.50,-1.08,46.00,46.25,3399648,156443.27
EA,88.25,89.50,88.25,88.50,+0.25,+0.28,88.50,88.75,8618102,765093.29
EGCO,167.00,168.00,166.50,166.50,-0.50,-0.30,166.50,168.00,656286,109624.47
EPG,10.20,10.50,10.20,10.20,0.00,0.00,10.20,10.30,7217826,74417.61
ESSO,9.30,9.45,9.15,9.35,+0.15,+1.63,9.35,9.40,30498426,284945.96
GLOBAL,21.60,21.90,21.50,21.80,+0.10,+0.46,21.80,21.90,8296154,180848.06
GPSC,66.75,67.25,66.50,66.50,-0.25,-0.37,66.50,66.75,5379532,359432.35
GULF,48.50,49.25,48.25,48.75,+0.25,+0.52,48.50,48.75,15309016,746338.59
GUNKUL,5.80,5.85,5.75,5.80,+0.05,+0.87,5.75,5.80,29292994,169644.82
HANA,45.25,45.50,44.50,45.00,-0.25,-0.55,44.75,45.00,6542175,294219.80
HMPRO,15.00,15.20,14.90,15.00,-0.20,-1.32,15.00,15.10,24129734,362512.66
INTUCH,70.75,71.00,69.50,70.00,-0.75,-1.06,69.75,70.00,3450094,241510.30
IRPC,3.44,3.52,3.44,3.48,+0.06,+1.75,3.48,3.50,147868541,515524.24
IVL,45.00,45.75,45.00,45.25,+0.25,+0.56,45.00,45.25,11418985,518810.54
JMART,61.75,62.50,61.25,62.50,+1.00,+1.63,62.25,62.50,8525588,528518.89
JMT,85.75,87.25,85.25,87.00,+1.25,+1.46,86.75,87.00,7717344,667264.46
KBANK,154.00,154.50,152.00,153.00,-0.50,-0.33,152.50,153.00,14519809,2219817.55
KCE,62.00,62.25,61.50,61.50,-0.50,-0.81,61.50,61.75,5380448,332516.81
KEX,23.90,24.00,23.40,23.50,-0.30,-1.26,23.40,23.50,4835446,114578.08
KKP,72.00,72.25,71.25,72.25,0.00,0.00,72.00,72.25,5620236,403477.90
KTB,15.20,15.30,15.00,15.20,0.00,0.00,15.10,15.20,59375152,899516.93
KTC,56.75,58.25,56.75,57.75,+0.50,+0.87,57.50,58.00,8210952,474196.02
LH,9.55,9.60,9.45,9.55,+0.05,+0.53,9.50,9.55,72063613,688490.56
MAJOR,21.00,21.00,20.50,20.50,-0.40,-1.91,20.50,20.60,3461126,71585.89
MEGA,49.25,50.00,48.25,49.00,-0.50,-1.01,48.75,49.00,6279392,307553.80
MINT,36.25,36.25,35.00,35.00,-1.00,-2.78,35.00,35.25,16526711,584790.95
MTC,46.50,47.25,45.75,46.25,0.00,0.00,46.25,46.75,7819791,363792.74
OR,24.60,25.25,24.50,25.00,+0.60,+2.46,24.90,25.00,51613893,1287719.42
ORI,11.10,11.20,10.90,11.00,-0.10,-0.90,11.00,11.10,4964172,54723.68
OSP,35.00,35.25,35.00,35.00,0.00,0.00,34.75,35.00,4149957,145372.54
PLANB,7.90,7.95,7.75,7.85,-0.05,-0.63,7.80,7.85,16524329,130122.27
PTG,14.60,14.70,14.30,14.30,-0.20,-1.38,14.30,14.40,16635190,240074.61
PTT,37.25,37.75,37.25,37.50,+0.25,+0.67,37.50,37.75,40611116,1523927.92
