2016-04-25,30.3,30.9,30.2,30.3
2016-04-26,30.2,30.5,29.8,30.2
2016-04-27,30.3,30.7,30.2,30.3
2016-04-28,30.3,30.7,30.1,30.3
2016-04-29,30.4,30.5,30.1,30.4
2016-05-03,29.7,30.5,29.7,29.7
2016-05-04,29.3,29.4,29.0,29.3
2016-05-09,29.9,30.1,29.6,29.9
2016-05-10,29.4,29.8,29.1,29.4
2016-05-11,29.2,29.9,29.2,29.2
2016-05-12,30.5,30.5,29.2,30.5
2016-05-13,30.0,30.6,30.0,30.0
2016-05-16,30.7,31.0,30.5,30.7
2016-05-18,31.1,31.6,31.0,31.1
2016-05-19,30.3,31.0,30.2,30.3
2016-05-23,29.9,30.2,29.6,29.9
2016-05-24,29.5,30.0,29.2,29.5
2016-05-25,30.0,30.3,29.9,30.0
2016-05-26,30.5,30.5,30.1,30.5
2016-05-27,30.7,30.9,30.3,30.7
2016-05-30,31.0,31.3,30.8,31.0
2016-05-31,30.1,31.2,30.1,30.1
2016-06-01,29.9,30.4,29.8,29.9
2016-06-02,30.5,30.7,30.0,30.5
2016-06-03,30.6,30.9,30.3,30.6
2016-06-06,30.8,30.9,30.5,30.8
2016-06-07,30.9,31.1,30.8,30.9
2016-06-08,31.7,31.7,31.0,31.7
2016-06-09,31.9,32.5,31.9,31.9
2016-06-10,31.7,32.0,31.6,31.7
2016-06-14,31.7,31.8,31.3,31.7
2016-06-15,31.9,32.0,31.3,31.9
2016-06-16,31.3,31.7,31.2,31.3
2016-06-17,31.7,31.7,31.1,31.7
2016-06-20,31.8,32.0,31.7,31.8
2016-06-21,31.9,31.9,31.7,31.9
2016-06-22,32.0,32.2,31.8,32.0
2016-06-23,32.4,32.5,31.7,32.4
2016-06-24,30.8,31.8,30.6,30.8
2016-06-27,30.9,31.1,30.6,30.9
2016-06-28,31.2,31.2,30.8,31.2
2016-06-29,31.2,31.7,31.2,31.2
2016-06-30,31.3,31.6,31.1,31.3
2016-07-04,31.4,31.5,31.2,31.4
2016-07-05,31.2,31.4,31.1,31.2
2016-07-06,31.0,31.2,30.8,31.0
2016-07-07,31.4,31.6,31.3,31.4
2016-07-08,31.2,31.3,31.0,31.2
2016-07-11,30.9,31.4,30.7,30.9
2016-07-12,31.3,31.3,30.8,31.3
2016-07-13,31.5,31.6,31.2,31.5
2016-07-14,32.4,32.4,31.3,32.4
2016-07-15,32.7,33.1,32.3,32.7
2016-07-20,33.7,33.7,32.8,33.7
2016-07-21,33.6,34.1,33.5,33.6
2016-07-22,34.2,34.2,33.3,34.2
2016-07-25,33.9,34.2,33.8,33.9
2016-07-26,32.9,33.9,32.8,32.9
2016-07-27,33.0,33.4,32.9,33.0
2016-07-28,33.4,33.5,32.5,33.4
2016-07-29,33.0,33.6,32.9,33.0
2016-08-01,33.2,33.5,32.7,32.7
2016-08-02,32.3,32.4,31.8,31.9
2016-08-03,32.0,32.3,31.7,32.1
2016-08-04,32.6,33.4,32.5,33.2
2016-08-05,33.5,33.7,33.3,33.5
2016-08-09,33.8,34.2,33.8,33.8
2016-08-10,33.8,34.0,33.6,33.7
2016-08-11,33.6,33.8,33.5,33.8
2016-08-15,34.2,34.5,33.9,34.4
2016-08-16,34.5,34.8,34.3,34.4
2016-08-17,34.4,34.4,34.0,34.2
2016-08-18,34.4,34.7,34.3,34.7
2016-08-19,34.9,35.3,34.9,34.9
2016-08-22,34.7,35.4,34.7,35.0
2016-08-23,34.4,34.7,34.3,34.5
2016-08-24,34.6,34.8,34.5,34.7
2016-08-25,34.9,35.1,34.6,34.6
2016-08-26,34.7,35.1,34.7,35.1
2016-08-29,35.2,35.3,35.0,35.2
2016-08-30,35.3,35.7,35.3,35.4
2016-08-31,34.8,34.9,34.6,34.9
2016-09-01,34.8,34.9,34.5,34.5
2016-09-02,34.6,34.6,33.2,33.5
2016-09-05,33.8,33.9,32.5,33.3
2016-09-06,33.4,33.7,33.2,33.3
2016-09-07,33.5,33.7,33.1,33.3
2016-09-08,33.6,33.6,33.1,33.3
2016-09-09,33.5,33.5,32.3,32.5
2016-09-12,31.9,32.0,31.1,31.1
2016-09-13,31.6,32.6,31.4,32.3
