BCH,753093.0,917057.0,1089465.0,1134907.0,1229405.0
BGRIM,,2126710.0,1862806.0,2331153.0,2174759.0
CKP,55055.0,158773.0,599068.0,768902.0,404714.0
DCC,1421723.0,1116867.0,978755.0,972791.0,1585345.0
DIF,18867071.0,11115912.0,9854546.0,20992136.0,13424031.0
DOHOME,,,,725511.0,726680.0
EPG,1380978.0,990961.0,904318.0,1002796.0,1218890.0
GLOBAL,1494972.0,1608567.0,2003039.0,2093471.0,1955963.0
HREIT,,-531737.0,650124.0,756360.0,609075.0
IMH,,,,10499.0,-16607.0
IP,,,,43472.0,53776.0
IVL,16197103.0,20882861.0,26465403.0,5252109.0,2414276.0
JASIF,5454650.0,7148093.0,5099288.0,10716557.0,9100688.0
KBANK,40174100.0,34338246.0,38459116.0,38726742.0,29487117.0
KCE,3038747.0,2544502.0,2014872.0,934492.0,1126787.0
MCS,1229262.0,499036.0,416932.0,608539.0,954078.0
NER,,,486456.0,538880.0,858677.0
NOBLE,682198.0,2043672.0,986978.0,3071218.0,1878303.0
PTT,94609078.0,135179603.0,119683943.0,92950604.0,37765808.0
PTTGC,25601633.0,39298310.0,40069490.0,11682080.0,199607.0
RATCH,6165722.0,6106700.0,5587602.0,5963281.0,6286678.0
RCL,,,,-491747.0,1744794.0
RJH,154644.0,231241.0,254537.0,359886.0,412494.0
SAT,607558.0,811241.0,915597.0,894640.0,371202.0
SCC,56084194.0,55041247.0,44748337.0,32014283.0,34143870.0
SIS,227445.0,296802.0,467856.0,423390.0,597497.0
STA,-757986.0,-1437051.0,2064358.0,-148536.0,9531213.0
TISCO,5005402.0,6090011.0,7015685.0,7270228.0,6063483.0
TMT,908950.0,641038.0,405883.0,229946.0,537878.0
TOP,21221911.0,24856199.0,10149038.0,6276682.0,-3301407.0
TSTH,214477.0,454561.0,-188181.0,47878.0,630549.0
TU,5254432.0,6020737.0,3256211.0,3815877.0,6246090.0
TYCN,70156.0,188290.0,-35467.0,-997683.0,-321049.0
VNT,1123703.0,2248325.0,3059411.0,3635428.0,2172741.0
