name,date,pe,yield,eps,div,pbv,dividend,market_cap,shares,max_price,min_price,NVDR
STANLY,2022-06-10,9.25,4.63,19.85,8.50,0.70,N/A,14060.69,76625000,198.50,160.00,9900
STARK,2022-06-10,19.04,N/,0.05,0.00,7.86,N/A,55483.85,11906404956,5.45,3.68,-381600
STEC,2022-06-10,27.02,1.89,0.15,0.25,1.09,N/A,20131.41,1525106540,15.60,12.00,2437300
STGT,2022-06-10,3.49,25.96,0.37,0.65,1.31,N/A,51252.38,2863261410,43.00,17.80,-2981800
SUPER,2022-06-10,10.92,0.72,0.02,0.006,1.13,N/A,22700.06,27349473107,1.06,0.78,8474900
SUPEREIF,2022-06-10,0,7.18,0.00,0.25272,1.19,N/A,6283.00,515000000,12.30,10.90,N/A
SVI,2022-06-10,10.54,3.09,0.12,0.23,2.94,N/A,16171.09,2170616326,11.70,4.66,-147400
SYNEX,2022-06-10,19.08,3.47,0.26,0.52,4.14,N/A,17116.70,847361206,37.00,20.20,-646200
TASCO,2022-06-10,12.93,6.36,0.14,0.80,1.71,N/A,26042.97,1578361570,21.20,15.50,151900
TCAP,2022-06-10,7.75,7.74,0.99,1.80,0.62,N/A,44393.93,1145649697,45.00,31.75,-264900
TFFIF,2022-06-10,0,3.91,0.00,0.087,0.69,N/A,37017.00,4570000000,8.70,7.00,N/A
TFG,2022-06-10,39.18,1.76,0.11,0.04,2.36,N/A,28784.17,5643954586,5.35,3.68,-277600
THANI,2022-06-10,14.02,3.95,0.08,0.17,2.03,N/A,24351.02,5663028199,5.30,4.00,-703200
THG,2022-06-10,22.62,1.62,0.62,0.50,4.97,N/A,47034.44,847467400,99.50,24.90,336300
TIDLOR,2022-06-10,24.59,0.78,0.41,0.274,3.50,13:1,81787.76,2497336063,42.48,30.88,839700
TIPH,2022-06-10,21.31,N/,1.06,1.30,3.75,N/A,38629.00,594292336,90.00,31.75,-1633200
TIPCO,2022-06-10,11.27,8.42,0.01,0.58,1.02,N/A,4415.60,482579640,10.50,8.55,13300
TISCO,2022-06-10,10.51,7.99,2.24,7.15,1.67,N/A,71657.78,800645624,101.50,87.00,-490500
TK,2022-06-10,11.78,4.17,0.27,0.50,1.04,N/A,6000.00,500000000,13.10,8.65,500800
TKN,2022-06-10,55.21,1.85,0.04,0.09,5.06,N/A,10419.00,1380000000,8.55,6.40,-150600
TKS,2022-06-10,4.48,3.37,0.30,0.30,1.02,10:1,5491.24,508448439,17.36,8.23,-212100
TMT,2022-06-10,6.56,13.98,0.15,0.70,2.09,N/A,8098.05,870758034,12.00,9.05,-157900
TMW,2022-06-10,12.24,2.47,2.98,0.90,0.57,N/A,1456.35,39900000,45.00,30.00,N/A
TOA,2022-06-10,32.02,1.87,0.20,0.19,4.28,N/A,54275.75,2029000000,36.25,25.75,-19700
TOP,2022-06-10,7.06,4.58,3.52,2.00,0.91,N/A,115771.58,2040027873,62.25,42.50,-1263100
TPIPL,2022-06-10,4.74,5.72,0.10,0.06,0.60,N/A,30219.87,19126500000,2.00,1.41,-1372700
TPIPP,2022-06-10,7.84,6.72,0.10,0.13,0.99,N/A,31248.00,8400000000,4.54,3.50,-326100
TQM,2022-06-10,33.41,2.44,0.36,0.50,10.64,N/A,30150.00,600000000,61.75,39.50,505900
TR,2022-06-10,2.76,1.17,17.38,0.56,0.32,N/A,9676.80,201600000,62.00,30.00,500
TRUE,2022-06-10,0,1.51,-0.05,0.07,1.93,N/A,154161.06,33368195301,5.70,3.00,-3836600
TSE,2022-06-10,7.74,3.26,0.16,0.035,0.76,N/A,4870.75,2117716281,3.70,2.04,-512800
TSTH,2022-06-10,4.24,3.82,0.31,0.05,0.88,N/A,11032.22,8421540848,2.04,1.27,130400
TTA,2022-06-10,3.76,2.29,0.54,0.22,0.79,N/A,17495.66,1822464564,19.50,8.50,948100
TTB,2022-06-10,11.27,2.99,0.03,0.038,0.58,N/A,122711.05,96622874580,1.50,0.95,4899900
TTLPF,2022-06-10,0,6.86,0.00,0.422,1.95,N/A,4086.00,180000000,24.00,20.50,N/A
TTW,2022-06-10,14.42,5.50,0.15,0.30,2.94,N/A,43491.00,3990000000,12.30,10.70,205500
TU,2022-06-10,10.01,5.56,0.36,0.50,1.29,N/A,81598.04,4771815496,23.00,16.00,-1365000
TVI,2022-06-10,13.21,3.72,0.37,0.70,3.01,N/A,5696.40,303000000,33.75,6.00,-36400
TVO,2022-06-10,13.80,6.98,0.82,0.90,2.50,N/A,25471.25,808610985,35.00,29.50,-66500
TYCN,2022-06-10,8.92,N/,0.21,0.00,0.47,N/A,2112.49,596748900,4.86,3.16,21800
UTP,2022-06-10,12.31,4.15,0.42,0.31,2.69,N/A,11115.00,650000000,21.70,15.40,132300
VGI,2022-06-10,0,0.69,-0.01,0.02,1.98,N/A,57651.75,11194515420,6.96,4.64,380000
VIBHA,2022-06-10,16.28,2.02,0.03,0.05,2.56,N/A,33668.15,13575865582,2.82,2.10,-2116100
VNG,2022-06-10,8.90,5.26,0.18,0.30,1.71,N/A,13187.80,1735237480,10.10,6.45,-302900
WHA,2022-06-10,15.37,3.13,0.04,0.0735,1.55,N/A,47829.87,14946834679,3.78,2.98,106200
WHAIR,2022-06-10,0,8.48,0.00,0.1556,0.89,N/A,6889.10,840134116,9.30,8.20,N/A
WHART,2022-06-10,0,6.91,0.00,0.1915,0.91,N/A,30960.50,3065395883,14.08,9.95,N/A
WHAUP,2022-06-10,22.06,6.41,0.02,0.16,1.18,N/A,15070.50,3825000000,4.56,3.76,-74700
WICE,2022-06-10,16.52,1.48,0.24,0.23,6.96,N/A,10104.44,651899500,25.25,9.30,-250100
WORK,2022-06-10,42.55,2.52,0.07,0.38,2.17,N/A,10155.89,441560485,32.50,18.40,-50200
