SET,M,2099762,2424846,2573533,2603590,907373,2603590
SET,MACO,101999,220861,272619,160581,-991902,272619
SET,MAKRO,5411632,6178132,5941993,6244592,6562667,6562667
SET,MC,842860,609406,305797,305797,407085,842860
SET,MCS,1229262,499036,416932,608539,954078,1229262
SET,MDX,58318,220980,397633,69347,148855,397633
SET,MFC,187529,142682,168082,130446,148103,187529
SET,MFEC,221766,153994,-166149,225416,244622,244622
SET,MSC,188063,235056,283262,220322,155795,283262
SET,MST,974490,638629,391293,254745,484451,974490
SET,MTI,633222,618441,415588,425836,590903,633222
SET,NCH,20725,18818,96301,21772,115278,115278
SET,NER,0,0,486456,538880,858677,858677
SET,NNCL,159792,243618,374669,255603,352405,374669
SET,NOBLE,682198,2043672,986978,3071218,1878303,3071218
SET,NTV,317386,354099,386847,420596,230822,420596
SET,NYT,390026,388685,404935,376509,228568,404935
SET,OISHI,0,1451693,1015256,1234452,1069644,1451693
SET,PAP,546378,292417,93995,71517,203013,546378
SET,PB,1462949,1335536,1431354,1700740,1678665,1700740
SET,PCSGH,382083,641450,340795,75925,253789,641450
SET,PDJ,-283255,-161322,167682,-241415,-95103,167682
SET,PERM,0,0,0,-148546,28222,28222
SET,PL,220171,221889,224067,170311,78072,224067
SET,PLE,191122,1113414,223726,221043,-440623,1113414
SET,POPF,366132,446849,526702,489996,574682,574682
SET,PORT,0,61725,136940,102193,58098,136940
SET,PR9,0,0,0,284457,202055,284457
SET,PREB,788134,703551,384421,271795,165666,788134
SET,PRG,332576,232314,321599,353169,405187,405187
SET,PSH,5940293,5456416,6022370,5358812,2770631,6022370
SET,QHHR,0,0,669959,292081,102915,669959
SET,RCL,0,0,0,-491747,1744794,1744794
SET,RICHY,9256,132915,451023,146143,101516,451023
SET,RJH,154644,231241,254537,359886,412494,412494
SET,ROJNA,116254,1313263,671214,1837975,1382581,1837975
SET,RPC,0,0,0,380825,44333,380825
SET,RSP,0,226060,157859,152006,4288,226060
SET,S,170234,571883,1286708,1143750,-2613332,1286708
SET,S & J,0,0,347399,258247,275907,347399
SET,S11,421443,395291,439292,529068,491264,529068
SET,SABINA,175666,243143,361587,413251,276811,413251
SET,SAMART,0,0,0,426028,-309141,426028
SET,SAMTEL,183934,220483,351391,451176,-287504,451176
SET,SAPPE,410246,401144,351551,403063,380161,410246
SET,SAT,607558,811241,915597,894640,371202,915597
SET,SAUCE,415001,345373,437007,445522,543413,543413
SET,SC,1968213,1258576,1781743,2026424,1897935,2026424
SET,SCCC,3914119,1818115,3021825,3156985,3680464,3914119
SET,SCN,307953,216668,179158,195903,43368,307953
SET,SENA,762546,742492,939610,890052,1119418,1119418
SET,SF,963977,1841096,1653713,2031351,2083273,2083273
SET,SFLEX,0,0,0,78614,142805,142805
SET,SGP,1118723,2811104,871184,1359917,2061838,2811104
SET,SHANG,576977,549594,701455,644964,-983114,701455
SET,SIRI,3380431,2824705,2045978,2392442,1673086,3380431
SET,SIS,227445,296802,467856,423390,597497,597497
SET,SISB,0,0,0,220874,153776,220874
SET,SKE,0,73920,58780,27609,37287,73920
SET,SKN,0,225962,206786,60392,163083,225962
SET,SKR,189711,162709,242420,242962,349678,349678
SET,SMPC,541138,531748,558418,375199,618711,618711
SET,SMT,12953,-545889,70424,-41885,81388,81388
SET,SNC,401654,401314,430696,722110,407665,722110
SET,SNP,0,0,400209,314400,183025,400209
SET,SORKON,109167,136399,191273,112106,109931,191273
SET,SPC,1374112,1534193,1743377,1709776,1705449,1743377
SET,SPCG,2314209,2524325,2613610,2669424,2731616,2731616
SET,SPG,564139,427421,379131,306519,372859,564139
